Movie Title,Year,Length (min),Av. Rating (0-5)
It,1990,98,4.0468
Jacob's Ladder,1990,110,4.0761
Jetsons: The Movie,1990,105,3.9762
Joe Versus the Volcano,1990,104,2.0976
Ju Dou,1990,99,2.7762
Kindergarten Cop,1990,103,2.2035
King of New York,1990,97,3.7318
Lionheart,1990,110,2.7479
Look Who's Talking Too,1990,84,1.5379
Loose Cannons,1990,81,3.6392
Lord of the Flies,1990,108,3.1761
Madhouse,1990,90,3.6859
Maniac Cop 2,1990,88,1.7376
Marked for Death,1990,105,2.7469
Memphis Belle,1990,99,1.4304
Men at Work,1990,99,3.7578
Mermaids,1990,96,3.0874
Metropolitan,1990,95,1.4396
Miami Blues,1990,91,2.2977
Mickey's The Prince and the Pauper,1990,103,3.513
Miller's Crossing,1990,97,3.7622
Misery,1990,82,1.6494
Mo' Better Blues,1990,103,3.0126
Mountains of the Moon,1990,104,3.4676
Mr. Destiny,1990,88,1.5373
My Blue Heaven,1990,88,2.0245
Navy Seals,1990,81,1.5308
Night of the Living Dead,1990,103,2.3779
Nightbreed,1990,92,1.3219
Nuns on the Run,1990,104,3.7033
Pacific Heights,1990,105,3.4554
Paris Is Burning,1990,81,2.8789
Predator 2,1990,101,3.2714
Presumed Innocent,1990,85,3.7903
Pretty Woman,1990,108,2.7022
Problem Child,1990,110,1.5368
Pump Up the Volume,1990,107,2.2576
Quick Change,1990,91,1.8039
Quigley Down Under,1990,98,1.5227
Repossessed,1990,92,2.0685
Revenge,1990,90,1.8137
Reversal of Fortune,1990,89,1.9995
RoboCop 2,1990,101,1.5792
Robot Jox,1990,86,1.7078
Rocky V,1990,109,3.2984
Rosencrantz and Guildenstern Are Dead,1990,97,1.3377
Sibling Rivalry,1990,84,3.095
Slumber Party Massacre III,1990,106,4.1308
Sorority House Massacre II,1990,80,3.2904
Spaced Invaders,1990,92,4.179
Stanley & Iris,1990,105,2.3551
State of Grace,1990,108,1.8888
Taking Care of Business,1990,98,3.3132
Tales from the Darkside: The Movie,1990,80,2.2791
Teenage Mutant Ninja Turtles,1990,93,2.1482
The Forbidden Dance,1990,89,3.1407
Three Men and a Little Lady,1990,109,3.283
Total Recall,1990,86,2.7153
Tremors,1990,81,2.3137
Troll 2,1990,100,3.6624
Trust,1990,108,2.5676
Twister,1990,107,1.6817
Wild at Heart,1990,101,2.063
Wild Orchid,1990,101,3.6867
Young Guns II,1990,107,3.241
35 Up,1991,96,2.7475
964 Pinocchio,1991,104,3.9418
Andrew Dice Clay: Dice Rules,1991,89,1.9591
Backdraft,1991,85,3.3578
Barton Fink,1991,94,3.435
Beauty and the Beast,1991,92,2.7893
Bill & Ted's Bogus Journey,1991,105,2.4826
Billy Bathgate,1991,94,3.3452
Black Robe,1991,109,3.6857
Body Parts,1991,83,2.933
Boyz N the Hood,1991,109,3.4942
Bugsy,1991,95,1.3541
Cape Fear,1991,98,2.6295
Career Opportunities,1991,102,1.2956
Children of the Night,1991,82,3.151
Child's Play 3,1991,91,1.856
City Slickers,1991,110,1.2129
Class Action,1991,84,2.0303
Curly Sue,1991,96,2.9749
Daughters of the Dust,1991,102,2.0442
Dead Again,1991,106,2.2705
Defending Your Life,1991,100,1.414
Delicatessen,1991,92,2.917
Delirious,1991,85,3.5397
Doc Hollywood,1991,94,3.3294
Dogfight,1991,95,1.9431
Don't Tell Mom the Babysitter's Dead,1991,108,3.5608
Double Impact,1991,97,2.8434
Dragon ball Z 04: Lord Slug,1991,83,3.9965
Drop Dead Fred,1991,87,2.9995
Dutch,1991,101,3.078
Dying Young,1991,94,4.1247
Ernest Scared Stupid,1991,84,3.1888
Eve of Destruction,1991,92,2.5224
Father of the Bride,1991,95,3.3055
Flirting,1991,94,2.2755
For the Boys,1991,82,3.1207
Frankie and Johnny,1991,101,3.8019
Fried Green Tomatoes,1991,102,1.6142
Grand Canyon,1991,83,1.5441
Hard Promises,1991,91,2.5729
Harley Davidson and the Marlboro Man,1991,89,2.5925
Hear My Song,1991,82,3.9286
Hearts of Darkness: A Filmmakers Apocalypse,1991,108,3.2808
Highlander II: The Quickening,1991,86,3.2287
Highway 61,1991,109,2.671
Hook,1991,84,1.2969
Hot Shots!,1991,88,2.0657
House Party 2,1991,95,1.3523
Hudson Hawk,1991,85,3.2781
If Looks Could Kill,1991,91,2.8541
Impromptu,1991,93,2.0757
Into the Woods,1991,92,2.191
JFK,1991,108,1.5896
Johnny Stecchino,1991,108,2.0018
Jungle Fever,1991,98,3.1082
Kickboxer 2: The Road Back,1991,95,3.5167
King Ralph,1991,104,3.5576
L.A. Story,1991,106,4.0697
Life Stinks,1991,92,3.8293
Little Man Tate,1991,81,1.3847
Loser,1991,96,2.6277
Madame Bovary,1991,109,1.3493
Madonna: Truth or Dare,1991,87,3.0662
Mannequin 2: On the Move,1991,93,3.179
Mediterraneo,1991,109,2.1326
Meet the Applegates,1991,102,4.0513
Mississippi Masala,1991,96,2.0122
Mobsters,1991,84,1.9889
Mortal Thoughts,1991,88,4.188
My Girl,1991,96,3.7818
My Own Private Idaho,1991,82,2.5851
Mystery Date,1991,90,1.7434
Naked Lunch,1991,88,2.7208
Necessary Roughness,1991,93,2.1903
Night on Earth,1991,86,2.8311
Not Without My Daughter,1991,110,1.2512
Nothing But Trouble,1991,107,4.2047
Only the Lonely,1991,109,3.8231
Oscar,1991,84,1.8163
Other People's Money,1991,93,4.1986
Point Break,1991,89,1.8253
Problem Child 2,1991,99,1.378
Proof,1991,87,2.7337
Puppet Master II,1991,102,2.295
Puppet Master III: Toulon's Revenge,1991,92,3.8639
Regarding Henry,1991,83,3.7013
Return to the Blue Lagoon,1991,105,2.3452
Robin Hood: Prince of Thieves,1991,82,1.5218
Rock-A-Doodle,1991,95,3.7002
Run,1991,89,1.3443
Rush,1991,93,1.8618
Scenes from a Mall,1991,100,3.2231
Shadows and Fog,1991,100,3.9701
Shattered,1991,85,3.8252
Ski School,1991,98,3.497
Slacker,1991,90,2.4861
Sleeping with the Enemy,1991,86,2.6392
Soapdish,1991,88,1.7597
Star Trek VI: The Undiscovered Country,1991,100,3.1694
Suburban Commando,1991,99,2.5517
Talent for the Game,1991,90,3.7874
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,84,3.4585
Terminator 2: Judgment Day,1991,101,4.0023
The Cave of the Golden Rose,1991,110,2.5226
The Flash 2 - Revenge of the Trickster,1991,95,3.6537
The Man in the Moon,1991,81,4.0169
Thelma & Louise,1991,99,2.2076
Toy Soldiers,1991,106,2.8104
V. I. Warshawski,1991,103,2.6185
What About Bob?,1991,99,3.0376
White Fang,1991,100,2.8258
World of Glory,1991,108,3.2081
1492: Conquest of Paradise,1992,105,3.4792
3 Ninjas,1992,103,2.2097
Aces: Iron Eagle III,1992,85,2.0501
Aladdin,1992,82,2.943
American Me,1992,109,4.2336
Amityville 1992: It's About Time,1992,104,2.7035
Bad Lieutenant,1992,107,3.9621
Baraka,1992,84,1.6226
Basic Instinct,1992,96,3.4364
Batman Returns,1992,102,3.0267
Bebe's Kids,1992,93,1.7472
Beethoven,1992,82,2.4352
Belle époque,1992,90,2.919
Bitter Moon,1992,103,2.411
Blame It on the Bellboy,1992,88,3.3433
Bob Roberts,1992,104,1.5599
Boomerang,1992,84,1.4185
Brother's Keeper,1992,109,2.2378
Buffy the Vampire Slayer,1992,102,2.1609
Candyman,1992,97,2.0108
Captain Ron,1992,89,3.0269
Chaplin,1992,108,2.0714
Christmas in Connecticut,1992,86,2.1199
Christopher Columbus: The Discovery,1992,100,4.1305
Class Act,1992,88,1.4455
Cool World,1992,104,2.3527
Death Becomes Her,1992,86,2.4219
Double Trouble,1992,102,3.4173
Dr. Giggles,1992,105,1.8847
Enchanted April,1992,105,2.3065
Encino Man,1992,83,1.8995
Far and Away,1992,90,3.8788
Ferngully: The Last Rainforest,1992,109,4.0737
Final Analysis,1992,90,1.7882
Forever Young,1992,103,2.2823
Fortress,1992,91,2.7486
Freejack,1992,93,4.1349
George Carlin: Jammin' in New York,1992,96,3.923
Gladiator,1992,97,3.0861
Glengarry Glen Ross,1992,94,1.6579
Hellraiser III: Hell on Earth,1992,104,1.8224
Hero,1992,92,3.9459
Hoffa,1992,106,1.7371
Home Alone 2: Lost in New York,1992,97,3.1793
Honeymoon in Vegas,1992,82,2.795
Housesitter,1992,98,2.7267
Howards End,1992,107,1.3567
Husbands and Wives,1992,106,3.2903
Indochine,1992,94,3.8629
Jennifer 8,1992,98,1.4936
Juice,1992,109,3.6298
Kuffs,1992,101,4.1685
Ladybugs,1992,93,2.3541
Leap of Faith,1992,83,3.1881
Lethal Weapon 3,1992,86,4.1941
Little Nemo: Adventures in Slumberland,1992,95,3.5653
Live Wire,1992,91,1.7269
Lorenzo's Oil,1992,101,3.5541
Love Potion #9,1992,86,1.7887
Malcolm X,1992,103,2.186
Man Trouble,1992,102,2.0254
Manufacturing Consent: Noam Chomsky and the Media,1992,110,3.4756
Meatballs 4,1992,87,2.5083
Medicine Man,1992,86,3.0414
Memoirs of an Invisible Man,1992,99,3.6805
Mo' Money,1992,90,1.7849
Mom and Dad Save the World,1992,97,2.2064
Monster in a Box,1992,109,3.2054
Mr. Baseball,1992,93,1.4314
Mr. Saturday Night,1992,83,1.6469
My Cousin Vinny,1992,106,3.8814
Newsies,1992,98,2.8376
Noises Off...,1992,86,4.1114
Of Mice and Men,1992,96,3.0484
One False Move,1992,99,3.4133
Orlando,1992,84,2.7575
Passenger 57,1992,108,3.5821
Passion Fish,1992,111,1.5915
Patriot Games,1992,109,1.6157
Pet Sematary II,1992,110,2.4772
Peter's Friends,1992,83,3.8792
Poison Ivy,1992,84,1.242
Prelude to a Kiss,1992,92,2.8973
Prime Suspect 2,1992,98,1.7351
Prom Night IV: Deliver Us From Evil,1992,90,4.0609
Radio Flyer,1992,103,3.8939
Raising Cain,1992,103,2.0209
Rapid Fire,1992,85,3.2307
Red Rock West,1992,92,3.5887
Reservoir Dogs,1992,100,3.0282
Revenge of the Nerds III: The Next Generation,1992,84,1.7747
Romper Stomper,1992,97,4.0096
Sarafina!,1992,94,3.2514
Saved by the Bell: Hawaiian Style,1992,104,4.1485
Scent of a Woman,1992,88,2.5499
School Ties,1992,83,1.9582
Shakes the Clown,1992,84,3.0764
Shining Through,1992,110,3.6481
Sidekicks,1992,90,2.5428
Single White Female,1992,92,3.3767
Singles,1992,93,3.7485
Sister Act,1992,85,3.3169
Sleepwalkers,1992,82,3.9206
Sneakers,1992,102,4.0643
Stay Tuned,1992,108,1.9075
Stop! Or My Mom Will Shoot,1992,102,2.7864
Strictly Ballroom,1992,94,1.5542
The Godfather Trilogy: 1972-1990,1992,94,1.8546
Titanica,1992,95,2.0173
To Grandmother's House We Go,1992,110,1.4569
Toys,1992,100,3.7019
Twin Peaks: Fire Walk with Me,1992,107,1.5967
Under Siege,1992,93,3.8273
Unforgiven,1992,101,2.0342
Universal Soldier,1992,104,1.8595
Unlawful Entry,1992,100,1.6431
Used People,1992,81,2.5269
Visions of Light: The Art of Cinematography,1992,109,2.4682
Wayne's World,1992,105,2.0854
Where the Day Takes You,1992,93,2.2106
White Men Can't Jump,1992,106,1.2478
White Sands,1992,106,3.1473
Wuthering Heights,1992,111,2.5697
Addams Family Values,1993,110,2.937
Airborne,1993,88,1.9003
Alive,1993,110,2.809
Amityville: A New Generation,1993,105,3.7186
Amos & Andrew,1993,104,3.4524
And the Band Played On,1993,94,2.6169
Another Stakeout,1993,111,3.9254
Arizona Dream,1993,97,2.7845
Army of Darkness,1993,91,2.6073
Aspen Extreme,1993,92,1.3548
Babylon 5: The Gathering,1993,104,3.4639
Backbeat,1993,107,1.9663
Bad Boy Bubby,1993,99,3.8717
Barbarians at the Gate,1993,105,1.4095
Batman: Mask of the Phantasm,1993,97,1.9925
Beethoven's 2nd,1993,100,4.0123
Being Human,1993,106,2.9967
Benny & Joon,1993,96,4.2121
Beyond Bedlam,1993,97,1.2955
Bhaji on the Beach,1993,99,2.7313
Bill Hicks: Revelations,1993,89,3.3606
Body of Evidence,1993,106,3.2265
Body Snatchers,1993,98,1.715
Boiling Point,1993,111,2.2737
Boxing Helena,1993,110,1.456
Calendar Girl,1993,107,4.0646
Carlito's Way,1993,96,2.3275
Carnosaur,1993,90,2.9824
CB4 - The Movie,1993,104,3.0874
Children of the Corn II: The Final Sacrifice,1993,86,1.5336
Cliffhanger,1993,108,3.4119
Comedy of the Strict Regime,1993,107,2.421
Coneheads,1993,94,3.9259
Cool Runnings,1993,84,1.7028
Cop and ½,1993,102,3.7449
Dave,1993,98,1.2719
Dazed and Confused,1993,95,1.8791
Demolition Man,1993,86,1.6699
Denis Leary: No Cure for Cancer,1993,87,2.1903
Dennis the Menace,1993,108,1.373
Dragon Ball Z Gaiden: The Plot to Destroy the Saiyans,1993,92,3.1916
Dragon: The Bruce Lee Story,1993,95,2.5708
Ernest Rides Again,1993,106,3.2395
Ethan Frome,1993,87,2.7605
Even Cowgirls Get the Blues,1993,100,2.9091
Falling Down,1993,86,3.7585
Fatal Instinct,1993,111,3.4956
Father Hood,1993,98,1.3954
Fearless,1993,103,3.8851
Fire in the Sky,1993,85,3.0075
Flesh and Bone,1993,107,2.643
For Love or Money,1993,94,3.1797
Freaked,1993,107,1.7022
Free Willy,1993,102,3.184
Germinal,1993,82,2.0844
Geronimo: An American Legend,1993,105,2.0767
Gettysburg,1993,99,3.477
Groundhog Day,1993,103,2.6414
Grumpy Old Men,1993,105,3.5036
Hard Target,1993,104,2.6576
Heart and Souls,1993,102,3.3038
Hocus Pocus,1993,82,2.7198
Homeward Bound: The Incredible Journey,1993,86,3.0737
Hot Shots! Part Deux,1993,82,2.6253
House of Cards,1993,104,1.674
In the Line of Fire,1993,106,2.8222
In the Name of the Father,1993,96,1.393
Indecent Proposal,1993,85,1.857
Indian Summer,1993,85,3.1074
Jack the Bear,1993,111,2.071
Judgment Night,1993,87,2.2768
Jurassic Park,1993,84,2.0493
Kalifornia,1993,94,4.0863
Kaspar Hauser,1993,95,3.032
Kika,1993,100,3.9237
Last Action Hero,1993,110,2.6192
Leprechaun,1993,97,2.4518
Life with Mikey,1993,90,1.7506
Little Buddha,1993,107,2.3922
Look Who's Talking Now,1993,99,2.2185
Love & Human Remains,1993,82,2.7336
M. Butterfly,1993,86,4.0812
Mad Dog and Glory,1993,102,3.1289
Made in America,1993,99,3.7649
Malice,1993,84,4.0258
Manhattan Murder Mystery,1993,109,3.8301
Man's Best Friend,1993,99,2.2969
Matinee,1993,86,2.0969
Menace II Society,1993,86,3.852
Mr. Nanny,1993,84,2.4813
Mr. Wonderful,1993,92,1.6901
Mrs. Doubtfire,1993,102,2.1024
Much Ado About Nothing,1993,83,3.8406
My Boyfriend's Back,1993,86,3.2551
My Life,1993,88,4.0143
Naked,1993,83,3.6057
Needful Things,1993,111,2.7184
Only the Strong,1993,110,1.6994
Patlabor 2: The Movie,1993,101,4.071
Philadelphia,1993,90,3.1031
Poetic Justice,1993,102,2.5935
Point of No Return,1993,104,2.3606
Prime Suspect 3,1993,88,1.4612
Puppet Master 4,1993,91,1.3869
Raining Stones,1993,104,2.3279
Rising Sun,1993,97,2.9458
Robin Hood: Men in Tights,1993,87,3.4951
RoboCop 3,1993,105,3.1067
Romeo Is Bleeding,1993,91,3.2027
Rookie of the Year,1993,83,1.7961
Ruby in Paradise,1993,97,1.3932
Rudy,1993,100,1.6797
Schindler's List,1993,111,1.7824
Searching for Bobby Fischer,1993,103,3.2035
Shadowlands,1993,107,4.0826
Short Cuts,1993,105,2.8461
Sister Act 2: Back in the Habit,1993,108,2.2743
Six Degrees of Separation,1993,90,3.4523
Sleepless in Seattle,1993,87,3.7754
Sliver,1993,94,3.1149
Sniper,1993,92,1.9519
So I Married an Axe Murderer,1993,109,2.5714
Some Folks Call It a Sling Blade,1993,90,3.1628
Sommersby,1993,94,3.5688
Son in Law,1993,110,1.6159
Stalingrad,1993,110,3.6044
Striking Distance,1993,99,1.9568
Super Mario Bros.,1993,84,3.0358
Suture,1993,88,2.7045
Swing Kids,1993,100,2.6996
Teenage Mutant Ninja Turtles III,1993,94,3.2482
Texas - Doc Snyder hält die Welt in Atem,1993,100,2.7612
Theremin: An Electronic Odyssey,1993,100,3.7655
Thirty-Two Short Films About Glenn Gould,1993,106,1.3449
This Boy's Life,1993,85,4.1052
Tombstone,1993,109,3.6143
True Romance,1993,110,4.2413
Undercover Blues,1993,87,2.4187
Untamed Heart,1993,87,2.9671
Wallace & Gromit: The Wrong Trousers,1993,100,1.3198
Wayne's World 2,1993,89,2.6935
Weekend at Bernie's II,1993,106,1.4894
We're Back! A Dinosaur's Story,1993,84,2.2775
What's Eating Gilbert Grape,1993,104,2.239
What's Love Got to Do with It?,1993,89,2.1425
00 Schneider - Jagd auf Nihil Baxter,1994,88,2.4557
3 Ninjas Kick Back,1994,94,4.0082
8 Seconds,1994,95,2.9536
A Flintstones Christmas Carol,1994,101,3.3737
Above the Rim,1994,112,3.1744
Ace Ventura: Pet Detective,1994,104,2.5895
Africa: The Serengeti,1994,102,3.9882
Airheads,1994,97,3.9754
Amateur,1994,87,3.5696
Andre,1994,104,3.4801
Angels in the Outfield,1994,99,2.261
Angie,1994,88,3.6177
Baby's Day Out,1994,89,3.2437
Bad Girls,1994,101,2.9924
Barcelona,1994,102,2.1228
Beverly Hills Cop III,1994,88,2.9791
Black Beauty,1994,91,4.115
Blank Check,1994,89,3.9626
Blankman,1994,89,3.0947
Blink,1994,92,2.7159
Blown Away,1994,98,2.2581
Blue Chips,1994,91,3.5096
Blue Sky,1994,87,3.3604
Bullets Over Broadway,1994,93,3.3579
Cabin Boy,1994,95,1.9731
Camp Nowhere,1994,99,1.7953
Chasers,1994,92,1.7776
Children of the Corn III,1994,109,2.4562
City Slickers II: The Legend of Curly's Gold,1994,86,1.5838
Clean Slate,1994,104,1.4614
Clear and Present Danger,1994,103,2.3799
Clerks,1994,104,2.2122
Cobb,1994,97,3.838
Color of Night,1994,88,4.1282
Cops and Robbersons,1994,112,4.0283
Crooklyn,1994,102,2.0631
Crumb,1994,89,2.1765
D2: The Mighty Ducks,1994,87,4.2885
Death and the Maiden,1994,99,3.5294
Death Wish 5: The Face of Death,1994,91,3.1278
Disclosure,1994,97,4.1337
Double Dragon,1994,91,2.9027
Double Happiness,1994,97,2.5322
Drop Zone,1994,102,3.074
Ed Wood,1994,103,3.4938
Exit to Eden,1994,105,1.7449
Exotica,1994,95,3.0331
Farinelli: il castrato,1994,93,1.6783
Fear of a Black Hat,1994,97,3.7226
Federal Hill,1994,88,2.5293
Forrest Gump,1994,94,4.1573
Four Weddings and a Funeral,1994,82,3.3361
Fresh,1994,105,4.0309
Fun,1994,110,2.4819
Getting Even with Dad,1994,93,3.2908
Go Fish,1994,100,3.5539
Greedy,1994,92,4.2595
Guarding Tess,1994,98,4.2434
Guyver: Dark Hero,1994,102,2.8076
Heavenly Creatures,1994,105,1.5203
Hoop Dreams,1994,95,4.2448
House Party 3,1994,102,1.4635
Houseguest,1994,103,2.2308
I Like It Like That,1994,90,2.0394
I Love Trouble,1994,106,1.7711
I.Q.,1994,95,3.3187
I'll Do Anything,1994,104,2.218
Immortal Beloved,1994,105,2.1485
In the Army Now,1994,96,1.7445
Interview with the Vampire: The Vampire Chronicles,1994,91,2.5714
Iron Will,1994,99,1.7114
It Could Happen to You,1994,97,3.7239
It's Pat,1994,97,3.08
Jason's Lyric,1994,98,3.8237
Jimmy Hollywood,1994,97,3.7735
Junior,1994,82,3.2516
Jupiter's Wife,1994,106,3.6995
Killing Zoe,1994,101,2.1775
Ladybird Ladybird,1994,84,1.3294
Lamerica,1994,88,1.6051
Lassie,1994,90,1.6431
Legends of the Fall,1994,112,1.2917
Leprechaun 2,1994,107,3.738
Lesson Faust,1994,109,3.4058
Lightning Jack,1994,88,2.2236
Little Big League,1994,87,3.6709
Little Giants,1994,105,3.2818
Little Women,1994,95,3.9787
Love Affair,1994,93,3.9621
Love and a .45,1994,99,3.3308
MacGyver: Lost Treasure of Atlantis,1994,84,3.4319
MacGyver: Trail to Doomsday,1994,107,4.1526
Major League II,1994,88,2.1223
Maverick,1994,111,1.4971
Maya Lin: A Strong Clear Vision,1994,93,3.2362
Milk Money,1994,83,2.902
Mina Tannenbaum,1994,103,3.5595
Miracle on 34th Street,1994,97,1.3804
Mixed Nuts,1994,90,3.1181
Monkey Trouble,1994,108,3.3303
Mrs. Parker and the Vicious Circle,1994,84,1.5774
Muriel's Wedding,1994,91,1.684
Mute Witness,1994,94,1.7885
My Father the Hero,1994,104,4.0054
My Girl 2,1994,93,4.2285
Nadja,1994,106,1.7664
Naked Gun 33 1/3: The Final Insult,1994,92,1.8678
Natural Born Killers,1994,87,2.7485
Nell,1994,92,1.5817
Nina Takes a Lover,1994,96,2.5519
No Escape,1994,101,3.6955
Nobody's Fool,1994,98,1.9106
North,1994,103,2.7069
Nothing to Lose,1994,90,3.7427
Once Were Warriors,1994,110,3.684
Only You,1994,99,4.0494
PCU,1994,93,1.3333
Phantasm III: Lord of the Dead,1994,88,2.2438
Police Academy: Mission to Moscow,1994,84,4.2798
Priest,1994,93,1.5069
Princess Caraboo,1994,111,2.0726
Pulp Fiction,1994,91,3.1679
Puppet Master 5: The Final Chapter,1994,97,2.0539
Quiz Show,1994,85,2.9294
Radioland Murders,1994,103,3.7176
Reality Bites,1994,86,3.4552
Reckless Kelly,1994,90,1.9843
Relative Fear,1994,83,2.9537
Renaissance Man,1994,86,2.3224
Revenge of the Nerds IV: Nerds in Love,1994,99,2.7408
Richie Rich,1994,97,3.0767
S.F.W.,1994,108,1.3888
Serial Mom,1994,111,4.2141
Shallow Grave,1994,92,3.413
Sirens,1994,111,3.2999
Somebody to Love,1994,84,2.0361
Spanking the Monkey,1994,82,1.9522
Speechless,1994,88,3.3679
Speed,1994,92,1.3324
Star Trek: Generations,1994,84,2.1362
Stargate,1994,108,1.71
Street Fighter,1994,98,2.1015
Sugar Hill,1994,92,1.3902
Surviving the Game,1994,93,1.3352
Terminal Velocity,1994,96,4.2334
The Silence of the Hams,1994,91,4.1149
Threesome,1994,83,1.8702
Thumbelina,1994,109,2.8072
Timecop,1994,109,2.8047
Tom & Viv,1994,82,2.1191
Trapped in Paradise,1994,99,1.4488
True Lies,1994,110,4.2866
Vanya on 42nd Street,1994,108,3.2424
Wagons East,1994,89,3.2886
What Happened Was...,1994,93,2.3636
When a Man Loves a Woman,1994,89,2.7092
Widows' Peak,1994,107,4.1043
With Honors,1994,94,1.6758
Wolf,1994,86,3.5215
Wyatt Earp,1994,97,2.3256
3 Ninjas Knuckle Up,1995,100,3.7323
Ace Ventura: When Nature Calls,1995,107,1.4866
Angel Baby,1995,92,3.9953
Angels and Insects,1995,98,4.2351
Angus,1995,91,1.8433
Anne Frank Remembered,1995,106,4.2829
Apollo 13,1995,99,2.8582
Assassins,1995,101,2.8289
Babe,1995,108,2.7906
Bad Boys,1995,85,3.595
Bad Company,1995,90,1.3896
Balto,1995,87,3.4022
Batman Forever,1995,87,2.6683
Before Sunrise,1995,91,1.7308
Best of the Best 3: No Turning Back,1995,100,2.7701
Beyond Rangoon,1995,86,4.3059
Billy Madison,1995,84,3.7464
Blue in the Face,1995,90,3.2465
Blue Juice,1995,105,1.4846
Born to Be Wild,1995,111,2.0353
Boys Life,1995,89,2.9864
Boys on the Side,1995,94,1.918
Braveheart,1995,84,3.2583
Bushwhacked,1995,85,3.2472
Canadian Bacon,1995,104,2.1522
Candyman: Farewell to the Flesh,1995,101,1.565
Carnosaur 2,1995,102,2.3385
Casino,1995,96,2.4239
Casper,1995,98,1.6903
Castle Freak,1995,83,3.6854
Circle of Friends,1995,107,2.9526
Citizen X,1995,104,2.5302
Clockers,1995,101,3.9004
Clueless,1995,95,1.4902
Cold Comfort Farm,1995,112,1.5499
Congo,1995,101,1.9358
Copycat,1995,107,2.3913
Crimson Tide,1995,91,3.3639
"Cry, the Beloved Country",1995,109,2.4202
Cutthroat Island,1995,108,3.8459
Dangerous Minds,1995,107,1.5204
Dead Man,1995,86,1.5108
Dead Man Walking,1995,109,4.021
Dead Presidents,1995,98,3.7077
Delta of Venus,1995,103,2.7978
Denise Calls Up,1995,98,2.3923
Desperado,1995,89,3.2572
Destiny Turns on the Radio,1995,105,3.5188
Devil in a Blue Dress,1995,91,2.6294
Die Hard: With a Vengeance,1995,108,3.8724
Dolores Claiborne,1995,91,3.4943
Don Juan DeMarco,1995,97,4.2826
Dracula: Dead and Loving It,1995,101,3.5895
Drunks,1995,97,2.4155
Empire Records,1995,110,3.0148
Fair Game,1995,98,2.5513
Far From Home: The Adventures of Yellow Dog,1995,105,2.0944
Father of the Bride Part II,1995,91,3.603
First Knight,1995,106,1.4448
Fluke,1995,98,2.8682
Forget Paris,1995,103,2.6814
Four Rooms,1995,93,2.8571
Free Willy 2: The Adventure Home,1995,105,2.2437
French Kiss,1995,97,1.984
Friday,1995,98,3.7447
Frisk,1995,89,3.6722
Funny Bones,1995,83,2.8607
Georgia,1995,97,2.7099
Get Shorty,1995,87,1.3561
Glory Daze,1995,84,1.7472
GoldenEye,1995,107,4.0158
Gordy,1995,109,3.8158
Grumpier Old Men,1995,87,2.3248
Hackers,1995,97,1.7616
Harrison Bergeron,1995,102,2.4785
Heat,1995,93,3.7749
Heavy,1995,112,1.9812
Heidi Fleiss: Hollywood Madam,1995,102,1.8824
Hideaway,1995,91,1.4347
Higher Learning,1995,107,2.7927
Home for the Holidays,1995,112,2.1498
How to Make an American Quilt,1995,84,2.5472
Ice Cream Man,1995,95,1.6857
In the Bleak Midwinter,1995,98,3.6792
In the Mouth of Madness,1995,111,1.6551
Iron Eagle IV,1995,95,2.717
It Takes Two,1995,96,1.985
Jack and Sarah,1995,85,3.2476
Jade,1995,87,2.939
Jefferson in Paris,1995,100,3.3662
Jeffrey,1995,112,4.2923
Johnny Mnemonic,1995,99,2.4648
Judge Dredd,1995,85,3.9749
Jumanji,1995,94,4.2391
Jury Duty,1995,109,2.9506
Just Cause,1995,93,3.5441
Kicking and Screaming,1995,94,3.5427
Kids,1995,104,3.9076
Kiss of Death,1995,95,2.4269
La Cérémonie,1995,98,1.3454
Land Before Time III: The Time of the Great Giving,1995,106,1.5605
Last of the Dogmen,1995,97,3.5273
Leaving Las Vegas,1995,87,2.3728
Leprechaun 3,1995,104,4.1865
Let It Be Me,1995,104,3.2629
Live Nude Girls,1995,85,2.0072
Living in Oblivion,1995,84,1.8819
Lord of Illusions,1995,99,3.227
Losing Isaiah,1995,110,2.1353
Mad Love,1995,111,2.9107
Major Payne,1995,96,3.2605
Mallrats,1995,96,1.9523
Man of the House,1995,95,1.9843
Man of the Year,1995,105,3.2895
Miami Rhapsody,1995,103,3.5646
Mighty Aphrodite,1995,89,3.2505
Mighty Morphin Power Rangers: The Movie,1995,105,1.3934
Money Train,1995,111,3.3933
Mortal Kombat,1995,106,3.904
Mortal Kombat: The Journey Begins,1995,88,2.8758
Mr. Holland's Opus,1995,101,4.1714
Murder in the First,1995,87,2.7646
My Family,1995,85,2.403
National Lampoon's Senior Trip,1995,85,1.9367
Nelly & Monsieur Arnaud,1995,89,3.7024
New Jersey Drive,1995,109,1.8884
Nick of Time,1995,103,3.844
Nico Icon,1995,89,3.0902
Nine Months,1995,91,2.7577
Nixon,1995,108,1.7736
Nothing Personal,1995,85,2.8992
Now and Then,1995,105,2.6792
Once Upon a Time... When We Were Colored,1995,110,2.2554
Operation Dumbo Drop,1995,111,1.5669
Othello,1995,101,2.5477
Outbreak,1995,101,1.3647
Party Girl,1995,89,2.5276
Persuasion,1995,101,3.0676
Pocahontas,1995,100,4.281
Powder,1995,102,1.5622
Pride and Prejudice,1995,84,3.2271
Prime Suspect: The Lost Child,1995,97,2.8451
Reckless,1995,111,3.5887
